geslacht,gebjaar,aantalhh,burgstat,nettoink,oplcat
1,1983,2,5,1127,4
2,1985,2,5,750,4
1,1985,3,5,400,1
2,1983,2,5,1750,6
1,2005,3,5,0,NA
2,1961,2,5,2800,5
2,2000,5,5,0,1
2,1955,3,1,1750,5
2,1935,1,1,750,1
1,1980,3,5,2300,5
1,1985,4,5,1268,4
1,1983,1,5,-13,5
2,1992,4,5,0,1
1,1936,2,1,1200,2
2,1970,4,1,750,3
2,1982,2,1,0,3
2,1993,4,5,500,1
1,1978,2,1,1950,4
2,1998,4,5,0,1
2,1969,4,1,436,4
1,1948,1,3,721,1
1,1960,2,1,1500,1
2,1971,4,3,1250,2
2,1998,7,5,0,1
2,1962,3,5,1250,5
2,1936,1,4,1750,5
2,1952,2,1,0,4
1,1980,5,5,2100,3
1,2001,5,5,0,1
2,1977,2,5,750,4
2,2004,3,5,0,NA
1,1966,3,5,1500,6
1,1952,2,5,3000,6
1,1990,4,5,0,1
2,1996,5,5,0,1
2,1986,4,5,0,5
1,1980,3,1,1250,3
1,1973,4,1,2500,5
2,2004,3,5,0,NA
2,2001,5,5,0,1
1,1943,2,1,2250,1
2,1955,3,1,900,5
2,1976,3,1,1100,4
1,1992,4,5,0,1
1,1949,3,1,1800,2
1,1995,5,5,0,1
2,1951,2,1,1100,2
2,1955,2,3,840,2
2,1958,2,1,900,2
1,1979,2,5,3250,5
1,1984,2,5,800,3
1,1988,4,5,250,4
2,1967,3,1,1635,6
2,1953,2,1,0,1
1,1999,6,5,0,1
2,1998,5,5,0,1
2,2006,4,5,0,NA
1,1973,4,1,1877,5
1,2007,4,5,0,NA
1,1936,2,1,1084,2
2,1961,4,1,1250,3
1,1964,4,1,3250,1
1,2004,3,5,0,NA
2,1978,4,1,340,2
1,1964,5,1,-14,2
2,1997,3,5,0,1
2,1978,4,5,1150,5
2,1941,1,1,713,2
1,2000,2,5,0,1
1,1997,4,5,0,1
2,1992,5,5,0,1
2,1961,5,1,1030,1
1,1959,1,5,2500,5
1,2003,3,5,0,1
2,1988,5,5,300,3
1,1978,1,5,1250,4
1,1973,2,1,-14,3
1,1995,5,5,0,1
1,1946,2,1,4000,6
2,1954,2,1,750,2
2,2002,4,5,0,1
2,1955,6,1,-13,3
1,1991,3,5,0,1
2,1969,2,1,1858,5
1,1995,4,5,0,1
1,2006,3,5,0,NA
2,1943,2,1,0,5
1,1942,2,1,1300,4
1,1995,4,5,0,1
2,1971,4,1,0,4
1,1975,2,1,1250,6
2,1991,5,5,250,1
1,1932,2,1,1250,5
2,1991,5,5,250,2
2,1998,5,5,0,1
1,1973,1,5,1250,4
2,1962,3,1,0,5
2,1994,3,5,0,1
2,1958,3,1,1800,1
2,1956,4,1,1600,6
2,1970,4,1,720,5
1,1989,4,5,0,3
2,1982,1,5,1242,5
2,1986,4,5,-14,3
1,1943,2,1,1800,4
2,1954,2,1,1800,4
1,1976,3,1,1750,5
1,1974,2,5,2400,6
2,1976,3,5,1400,5
2,1970,5,1,1600,6
2,1959,4,1,-14,2
2,1949,5,1,0,2
2,1944,1,3,750,2
1,1972,4,1,2250,1
1,2002,4,5,0,1
1,1978,3,5,1600,2
1,1945,2,1,2176,5
2,1960,5,1,750,3
2,2000,4,5,0,1
1,1984,4,5,1250,2
2,1947,2,1,170,2
2,1961,4,1,650,2
1,1946,2,1,3300,5
2,1971,1,1,-14,5
2,2004,4,5,0,NA
1,1994,4,5,0,1
2,1963,4,5,1900,5
1,1987,5,5,350,3
2,1958,1,3,1400,4
2,1999,4,5,0,1
1,1980,3,1,1200,4
2,1989,4,5,325,1
2,2000,4,5,0,1
1,1939,2,1,750,1
2,1952,2,1,1500,3
1,2006,4,5,0,NA
1,1993,4,5,0,1
1,1966,4,1,409,4
2,1955,2,3,830,1
2,1981,2,5,1700,4
2,1950,1,3,1600,4
1,2000,4,5,0,1
1,1962,4,1,8500,5
1,1991,5,5,0,1
1,1940,2,1,2750,5
1,1995,4,5,0,1
1,1974,4,1,1300,4
2,1965,1,5,1900,3
1,1980,3,5,0,5
2,1996,4,5,0,1
2,1932,2,1,639,1
1,1954,4,1,1700,5
1,1951,3,1,-13,5
2,1991,4,5,0,1
2,1958,4,1,1250,5
1,1947,2,1,1949,2
1,1966,4,1,3250,6
1,1943,2,1,2059,3
2,1966,2,1,-14,2
1,1970,1,5,1160,4
2,1959,2,3,2400,3
2,1964,4,1,0,2
2,1989,3,5,0,1
2,1973,2,5,1600,4
2,2006,5,5,0,NA
2,1965,4,1,0,3
2,1962,2,3,795,4
2,1956,4,1,1403,4
1,2004,4,5,0,NA
1,1963,4,1,2000,4
1,2005,4,5,0,NA
2,1977,2,1,-14,5
2,1948,2,1,1500,5
1,1960,4,1,3500,5
2,1946,2,1,250,2
2,1997,4,5,0,1
2,2004,5,5,0,1
2,1985,4,5,1400,2
1,1952,2,1,2300,5
1,1971,1,5,1750,6
2,1971,6,1,0,5
1,1944,1,3,3218,4
2,2007,3,5,0,NA
1,1938,2,1,2718,5
1,1967,5,1,2955,4
2,1972,2,5,500,4
1,1941,2,1,2010,4
2,1975,6,5,250,1
2,1937,2,1,750,1
2,1942,2,1,830,1
2,1959,1,3,7500,1
2,1968,2,1,1800,4
1,1952,3,5,1680,2
1,1960,4,1,-14,2
2,1960,2,1,958,2
2,1994,4,5,0,1
1,1989,9,5,-14,3
1,1981,4,5,1750,5
1,1960,2,1,1500,4
1,1937,2,1,2450,5
1,1958,3,5,1250,3
2,1984,4,5,300,3
1,1961,4,1,1500,4
2,1947,2,1,0,5
1,1948,2,1,3250,6
2,1967,2,1,2800,6
2,2001,4,5,0,1
2,1965,3,1,1399,2
1,1984,3,5,1250,5
1,1984,3,5,1617,5
2,1957,1,3,800,2
2,1977,2,5,2500,6
2,1982,2,5,1525,6
1,1962,2,1,4000,6
2,1949,3,1,0,4
2,2006,4,5,0,NA
1,1988,4,5,0,4
1,1962,3,1,1250,1
2,1947,2,1,0,2
1,1946,5,1,2240,2
1,2000,5,5,0,1
1,1930,2,1,750,2
2,1971,1,5,1500,5
2,1937,1,4,1250,2
1,1981,1,5,500,4
1,1958,4,1,1800,2
1,1956,2,1,1750,2
2,1967,3,1,0,4
2,1942,2,1,1000,1
2,2003,4,5,0,1
1,1993,5,5,0,1
2,1961,3,1,0,2
2,1989,4,5,0,1
2,1951,2,1,550,4
2,1955,3,1,0,2
2,1952,3,1,1007,2
2,1960,2,3,750,2
2,2007,6,5,0,NA
1,1991,4,5,0,1
2,1948,2,3,1340,3
2,1958,2,1,1100,3
2,1948,2,1,1250,1
2,1950,1,5,1585,2
1,1965,3,5,750,1
1,1941,2,1,2540,2
1,1939,3,1,750,2
1,1967,5,3,1200,2
1,1969,3,1,2250,5
2,2005,3,5,0,NA
1,1998,4,5,0,1
1,1953,3,1,-13,6
2,2005,4,5,0,NA
1,1969,6,1,2431,5
1,1994,6,5,0,1
1,1972,2,1,1900,5
2,1962,4,1,0,2
1,1979,2,5,2100,6
2,1940,1,3,980,2
2,1942,2,1,750,1
1,1947,2,1,-14,1
2,1999,4,5,0,1
1,2001,6,5,0,1
2,1957,2,4,2300,5
1,1971,2,5,4250,2
2,1974,5,1,10,5
2,2005,5,5,0,NA
2,1949,2,1,1300,5
1,1939,2,1,-14,3
2,1956,3,1,0,2
1,1952,4,1,2600,3
2,2002,6,5,0,1
2,2006,4,5,0,NA
2,1955,3,1,327,4
2,1974,5,1,330,5
1,1960,3,1,2250,5
1,1994,5,5,0,1
1,1971,4,1,2800,6
1,1979,2,5,1250,3
1,1984,4,5,1100,4
2,1997,4,5,0,1
2,1964,4,1,1400,2
2,1950,2,1,-13,5
2,1975,1,5,1700,5
2,1941,2,3,2136,6
2,1947,2,1,895,4
1,1952,1,3,1250,2
2,1999,3,5,0,1
2,1947,3,1,0,5
1,1968,1,5,750,4
1,1985,3,5,500,4
1,1961,4,3,1500,2
1,1976,3,5,1590,4
2,2003,5,5,0,1
1,1948,2,1,1942,2
1,1994,5,5,45,1
2,1944,2,1,3873,6
2,1958,2,1,1325,2
1,1953,4,1,4500,4
1,1994,4,5,0,1
2,1973,4,1,1000,4
1,2005,5,5,0,NA
2,1951,2,1,920,1
2,1955,2,1,250,4
1,1988,5,5,0,3
1,1992,4,5,150,1
2,1933,2,1,750,2
2,1941,2,1,2250,2
1,1977,1,5,700,4
2,1956,2,4,1300,4
2,1988,1,5,250,3
2,1992,5,5,0,1
2,1937,2,1,650,5
2,1940,1,1,1400,1
2,2004,5,5,0,1
2,1937,2,1,950,5
1,1933,2,1,1850,6
2,1937,1,4,3233,5
1,1969,2,5,3250,6
2,2007,4,5,0,NA
2,2002,4,5,0,1
2,1956,2,1,1770,5
2,1986,3,5,250,3
2,1991,7,5,25,1
1,1990,4,5,0,4
1,1984,3,5,320,3
1,1982,1,5,0,3
1,1997,4,5,0,1
2,1993,3,5,-14,1
1,1953,3,1,-14,4
2,1957,2,1,1500,2
2,1981,1,5,-14,5
2,1996,4,5,0,1
2,1974,3,1,-14,5
2,2004,4,5,0,NA
1,1982,2,1,1700,5
1,1945,2,1,2750,2
1,1993,4,5,0,1
2,1993,3,5,0,1
1,1973,1,5,1859,5
2,1931,1,4,1600,2
2,1954,4,1,0,4
2,2005,3,5,0,NA
1,1968,3,1,1639,1
1,1950,2,1,2580,4
2,1961,3,1,1060,3
2,1997,5,5,0,1
1,1944,2,1,2000,2
2,1953,3,3,0,3
1,1945,2,1,1750,1
1,1986,4,5,250,3
1,1958,1,5,2374,5
2,2000,7,5,0,1
2,1952,2,1,180,4
1,1955,5,1,1600,1
2,1983,2,1,800,4
1,1934,2,1,750,2
1,1968,4,1,4000,6
2,1962,5,1,1227,5
1,1985,3,5,750,4
2,1961,4,1,950,5
2,1981,3,1,1300,4
2,1954,2,1,1000,5
1,1952,4,1,250,6
2,1997,4,5,0,1
2,1957,2,3,1600,4
1,1986,4,5,900,2
2,1993,4,5,0,1
1,1997,4,5,0,1
1,1996,4,5,0,1
2,2001,4,5,0,1
2,2005,3,5,0,1
2,1978,4,5,0,2
2,1974,5,1,0,6
2,1952,3,1,1200,4
1,1997,4,5,0,1
1,1979,1,5,600,3
2,2003,5,5,0,1
1,1970,5,3,2000,2
1,1997,5,5,0,1
2,1947,3,1,1050,2
2,1986,2,5,0,3
1,1984,2,5,1200,3
2,1943,2,1,-14,2
1,1975,2,5,2000,4
1,1954,3,1,2500,5
1,1990,5,5,0,3
2,1951,3,1,600,4
1,1966,4,1,1400,4
1,1972,3,5,1750,4
2,1998,4,5,0,1
2,1958,4,1,1416,3
2,1995,5,5,0,1
1,2001,4,5,0,1
1,1952,2,1,2280,5
2,1965,4,3,1750,2
1,1989,4,5,-14,3
2,1932,2,1,1000,3
1,1993,4,5,0,1
1,1960,4,1,-14,2
1,1969,5,1,2600,4
1,1973,2,1,1500,6
2,1961,3,3,85298,2
2,2008,4,5,0,NA
1,1952,2,1,1273,2
2,1957,2,3,-14,5
1,2004,5,5,-13,NA
1,1968,3,1,2873,2
2,1946,1,5,2250,5
1,1965,1,5,1450,4
2,1977,4,1,-14,5
2,1987,4,5,0,4
2,1999,5,5,0,1
2,1999,4,5,0,1
1,2003,4,5,0,1
2,1951,2,1,-14,2
1,1957,2,1,3050,6
2,1964,2,1,2511,6
1,1962,4,1,1700,4
2,1965,5,1,700,3
1,1940,2,1,2250,2
1,1948,2,1,2500,6
1,1948,2,1,2000,2
1,1998,5,5,0,1
1,1987,4,5,250,4
2,2006,5,5,0,NA
1,2002,2,5,0,1
2,1948,1,3,722,1
1,1951,4,1,950,1
2,1949,2,5,3250,6
1,1946,2,1,1183,2
2,1980,2,5,2150,5
2,1942,2,1,750,2
2,1966,4,1,400,2
1,1968,1,5,1816,6
1,1934,2,1,1186,1
1,1951,3,1,1400,2
1,1965,2,1,2250,1
2,1936,1,4,750,1
1,1949,1,1,1585,2
2,1968,2,5,0,2
1,1972,2,5,2000,6
2,1946,1,1,0,2
1,1979,1,5,2250,6
2,1991,4,5,0,1
2,1941,1,3,2000,1
2,1967,1,5,2750,5
1,1942,2,1,1700,2
2,1957,3,1,580,4
2,1948,2,1,1000,2
1,1957,4,1,3200,6
2,1933,2,1,750,2
1,1970,4,1,3000,6
2,1980,4,5,750,2
2,1953,1,5,1920,5
1,1967,4,1,1575,1
1,1989,3,5,400,2
1,1987,3,5,700,4
1,1964,3,1,2500,2
2,1989,4,5,150,2
1,1961,5,1,2250,4
2,1990,4,5,0,1
1,1974,3,5,1860,4
1,1998,4,5,0,1
2,1970,1,5,1650,3
1,2006,4,5,0,NA
2,1973,4,1,2200,6
1,1932,2,1,1750,2
1,1961,4,1,3850,6
2,1973,2,1,700,2
2,1971,4,5,750,2
1,1978,2,1,2200,4
2,1989,6,5,-13,1
2,1975,1,5,1250,1
1,1965,1,3,1600,4
1,1960,4,1,148936,4
2,1995,4,5,0,1
2,2004,5,5,0,NA
1,2006,5,5,0,NA
2,1967,4,1,700,4
2,2007,4,5,0,NA
1,1975,2,1,2000,6
2,2007,3,5,0,NA
1,2003,5,5,0,1
1,1965,2,1,2270,5
1,1966,3,1,1659,4
1,2005,3,5,0,NA
2,1997,5,5,0,1
2,1976,1,5,1800,6
2,1990,5,5,250,2
2,1953,4,1,200,2
2,1990,4,5,200,1
1,2003,3,5,0,NA
2,1992,4,5,0,1
1,2005,4,5,0,1
1,1995,4,5,0,1
1,1968,4,1,3700,5
2,1974,3,1,565,4
1,2004,4,5,0,NA
1,1953,2,1,2200,5
2,1966,6,1,250,2
2,1994,4,5,0,1
1,1954,2,5,1250,1
1,2003,3,5,0,1
1,1939,2,1,2300,4
2,1975,3,5,832,1
1,1937,2,1,1000,2
2,1953,3,1,1000,4
2,1983,5,5,1250,4
1,1955,5,1,1145,2
1,1971,2,5,3500,5
1,1964,4,1,-14,4
1,1960,2,3,1900,2
1,1973,2,5,-14,5
1,1936,1,4,1634,4
2,1972,5,1,900,5
1,1956,3,1,3100,6
1,1963,5,1,4200,6
2,1994,7,5,0,1
2,1965,3,1,0,1
1,1983,2,5,500,6
1,1958,3,1,1900,5
1,1953,2,1,2300,6
1,2000,4,5,0,1
2,1968,3,3,800,1
2,1967,2,1,600,2
1,1955,4,1,4517,5
2,1999,4,5,0,1
2,1949,2,1,500,5
2,1994,4,5,0,1
1,1955,4,1,2250,4
1,1936,2,1,1800,4
2,1996,2,5,0,1
2,2007,4,5,0,NA
2,1956,3,1,0,2
2,1992,8,5,0,1
1,1959,1,5,1600,4
1,1967,2,3,1400,2
1,1939,2,1,1600,5
1,1951,2,1,1400,2
1,1955,1,3,1280,5
2,1927,2,1,760,2
1,1969,3,1,1750,4
1,2005,4,5,0,NA
1,1963,4,1,2000,2
2,1955,2,1,0,2
2,2007,5,5,0,NA
2,1959,4,1,1250,2
1,2005,4,5,0,NA
1,1983,3,5,-14,1
2,1980,2,5,1900,6
2,1956,3,1,500,2
1,1973,2,5,1800,2
2,1966,2,3,250,2
2,1953,2,1,300,2
1,1944,2,1,-14,4
1,1954,4,1,2400,4
1,2002,3,5,0,1
1,1938,2,1,1200,4
2,1940,2,4,950,2
1,1998,5,5,0,1
1,2000,4,5,0,1
2,1980,2,3,1000,4
2,2007,4,5,0,NA
2,1957,3,1,1350,2
1,2008,3,5,0,NA
1,1945,2,1,1630,4
2,1966,4,1,300,2
1,1954,4,1,-13,2
2,1998,5,5,0,1
1,1946,5,1,2690,5
1,1971,4,1,1750,4
1,2001,4,5,0,1
1,1968,2,1,1750,6
2,1995,6,5,0,1
2,1955,2,5,1450,5
1,1968,4,1,1600,4
1,2004,4,5,0,NA
2,1981,2,1,1614,5
2,1993,5,5,0,1
2,1945,2,1,-13,2
2,1958,1,5,1900,5
1,1959,4,1,1725,5
2,1946,1,4,1350,2
1,1958,4,1,3334,2
1,1973,2,1,1600,3
2,2004,4,5,0,1
2,2003,5,5,0,1
2,1958,5,1,0,4
2,1974,1,5,1250,5
1,1990,3,5,120,1
1,1952,1,4,1600,1
1,1961,4,5,3310,5
1,1993,2,5,0,1
1,1965,3,3,2045,5
2,1975,2,3,1700,4
2,1954,2,1,1300,5
1,1959,4,1,2000,1
1,1979,2,5,-14,4
1,1953,2,1,-14,3
2,1966,4,1,1150,4
1,2002,6,5,0,1
1,2007,6,5,0,NA
2,1947,2,1,0,1
1,1997,4,5,0,1
2,1969,3,1,1550,4
2,1975,2,3,1800,4
1,1974,2,5,2200,5
1,1997,4,5,0,1
1,1973,3,5,1400,2
1,1939,2,1,-14,2
1,1968,5,1,1520,5
1,2000,4,5,0,1
1,1999,4,5,0,1
1,1954,4,1,3600,6
1,1961,3,1,1807,4
2,1956,2,3,1050,2
1,1983,1,5,1211,2
2,1972,3,5,1900,5
1,1963,2,1,1262,1
2,1968,2,1,300,2
2,2000,4,5,0,1
1,1946,2,1,-13,3
1,1988,4,5,850,2
2,1942,2,1,753,4
2,1952,2,1,930,2
2,1982,2,1,250,2
1,1969,5,1,1500,5
1,1965,3,1,1700,4
1,1930,2,1,1578,1
2,1992,4,5,0,1
2,1981,2,5,1250,4
2,1955,2,1,750,3
2,1936,1,3,1130,3
2,1961,4,1,800,4
1,1960,4,1,1250,4
2,1974,1,5,1800,6
2,2005,6,5,0,NA
2,1958,4,5,1000,6
1,1989,6,5,0,3
2,1950,2,1,1540,6
2,1974,2,5,2750,6
1,1967,2,1,2000,5
2,1969,4,5,1700,5
2,1952,1,3,1300,4
2,1995,4,5,0,1
1,1975,4,1,2020,5
2,1997,3,5,0,1
2,2002,5,5,0,1
2,1947,4,1,2048,6
2,1981,3,1,757,5
1,1991,5,5,100,1
1,1990,4,5,180,1
2,1987,2,5,600,4
1,2003,4,5,0,1
1,1993,7,5,0,1
2,1959,4,1,520,1
2,1953,2,1,1200,5
2,1980,2,5,750,5
1,1996,4,5,0,1
1,1953,4,3,1600,4
1,1968,5,1,1970,5
2,1965,4,1,1580,5
2,1943,1,1,4200,5
2,1989,2,5,0,1
2,1959,5,1,900,4
2,1992,5,5,50,1
2,1948,2,1,0,2
2,1992,5,5,0,1
1,2005,5,5,0,1
2,1946,2,1,0,4
1,1963,6,1,2300,5
1,1948,2,1,2200,5
2,1952,2,1,2200,3
2,1958,2,1,0,2
2,1985,2,5,1300,4
2,1974,3,1,2300,6
1,1976,5,1,1450,5
1,1955,4,1,2200,4
1,1965,4,5,2000,3
1,1935,1,4,3150,2
1,1954,3,1,2250,5
2,1988,2,5,-13,2
1,1971,1,5,1250,1
1,2006,5,5,0,NA
2,1988,6,5,500,3
1,1945,2,1,1680,1
1,1963,4,1,2750,2
1,1977,5,1,2650,5
1,1938,1,4,1250,5
2,1964,4,1,0,3
1,1968,4,1,2250,2
1,1933,2,1,932,1
2,1965,2,3,1946,4
1,2004,5,5,0,NA
2,1957,2,1,580,2
1,1954,4,1,1600,2
1,1965,2,5,1400,2
2,1949,2,3,1317,1
2,1939,2,1,750,4
1,1955,1,5,-13,4
1,1965,3,1,2250,4
2,1958,2,1,0,2
1,1943,2,4,-13,2
2,1936,3,1,250,2
2,1955,4,1,1000,5
2,1945,1,3,750,2
1,1997,4,5,0,1
2,1958,6,1,249,2
2,1963,2,1,1702,1
2,1982,3,5,1150,4
2,1966,3,3,1250,5
1,1966,5,1,1750,2
1,2000,4,5,0,1
1,1964,4,1,3200,4
2,1941,2,1,800,2
2,1977,2,1,2350,5
1,1978,2,5,1900,4
1,1947,2,3,1900,2
2,1942,2,1,500,5
2,1994,4,5,0,1
1,1958,1,5,650,1
1,1999,6,5,0,1
1,2004,3,5,0,NA
1,1954,1,5,890,2
2,1957,3,1,-14,1
1,1994,6,5,0,1
2,1964,4,3,1500,5
1,1946,2,1,1610,4
2,1956,3,1,0,1
1,1961,4,1,-13,6
2,1949,2,1,568,4
2,1935,1,4,1900,3
2,1981,4,1,1000,4
1,1947,2,1,2250,2
1,1957,5,1,1600,4
2,1954,3,1,0,2
2,1978,3,5,90,5
1,1956,4,1,1250,2
2,1993,5,5,0,1
2,1974,2,1,1000,4
2,1965,3,1,400,1
1,1957,3,1,-13,2
2,1998,4,5,0,1
2,1983,1,5,2000,4
2,1948,1,1,2250,1
2,1966,2,3,1200,4
1,1949,2,1,1200,6
1,2005,5,5,0,NA
2,1964,3,3,1100,2
1,1978,3,1,750,4
2,1954,2,1,1500,2
1,1965,3,1,3400,6
2,2007,4,5,0,NA
1,1965,4,5,2250,5
1,1943,3,1,1010,2
2,1993,3,5,0,1
2,2006,3,5,0,NA
1,1973,1,5,1700,3
2,2000,5,5,0,1
2,1992,4,5,0,1
1,1993,5,5,0,1
2,1965,2,1,1458,5
2,2001,3,5,0,1
1,1968,5,1,0,3
1,1985,3,5,650,3
2,1975,4,1,750,4
1,1971,3,1,1920,5
1,1982,3,5,1418,4
2,1950,2,1,1239,2
2,1975,5,1,0,5
1,2000,4,5,0,1
2,1972,3,1,637,1
1,1989,4,5,250,2
2,1980,2,5,1800,5
2,1960,2,5,1350,1
2,1970,5,1,-14,2
1,1965,4,1,2000,2
2,1999,4,5,0,1
2,1949,2,1,500,1
1,1970,2,1,1400,4
2,2002,4,5,0,1
1,1949,4,1,250,5
2,1955,2,1,1600,2
1,1940,2,1,3113,5
1,1960,1,3,900,4
1,1963,5,1,6250,6
2,1929,1,3,1820,5
2,1956,2,3,1750,4
2,1989,4,5,0,1
2,2001,3,5,0,1
1,1967,4,1,-14,6
1,1956,2,5,848,2
1,1982,3,5,-14,2
2,1973,3,1,0,5
1,1987,4,5,150,4
2,2003,4,5,0,NA
2,1967,5,1,950,1
2,1944,2,1,0,2
1,2006,6,5,0,NA
1,1978,1,5,1500,6
1,1998,5,5,0,1
2,1974,4,5,959,4
1,1944,2,1,2200,5
1,1947,2,1,2100,5
1,2002,4,5,0,1
1,1998,5,5,0,1
1,1991,4,5,0,1
1,1959,6,1,-13,2
2,1965,3,1,780,2
2,1964,2,1,550,2
1,1972,4,3,1750,4
1,1965,3,1,750,2
2,1980,1,5,0,5
1,1966,5,1,2750,5
1,1982,1,5,1800,4
2,1965,4,1,0,2
2,1945,1,4,2200,2
2,1935,2,1,630,3
2,1994,6,5,0,1
1,1940,2,1,4000,6
2,1993,5,5,100,1
2,1992,4,5,0,1
1,1940,2,1,1005,1
2,2003,4,5,0,1
2,1997,3,5,0,1
1,1967,4,1,3250,5
1,1976,3,1,2500,6
1,1989,6,5,250,1
2,1936,1,4,1787,3
1,1964,4,1,2300,4
2,1930,1,4,1200,2
1,1948,3,1,750,4
1,1965,6,1,1750,6
1,1964,4,1,1814,6
1,1973,2,5,1750,5
2,1981,1,5,1627,6
2,1971,4,1,1250,4
1,2006,6,5,0,NA
2,1958,1,5,1500,4
1,1989,4,5,1000,2
2,1956,2,1,250,2
1,1964,4,1,3200,6
1,1989,7,5,0,2
2,1936,1,3,834,1
2,1960,1,5,0,4
1,1958,5,1,1600,2
2,1965,3,5,1088,6
1,1980,2,5,1750,2
1,1938,2,1,1174,4
1,1982,1,5,1800,6
1,1962,1,5,2200,5
2,1970,4,5,1400,5
1,1932,2,1,946,2
1,1992,3,5,0,1
1,2003,4,5,0,1
1,1962,4,1,1650,2
1,1958,2,5,1743,2
1,1973,2,1,1400,1
1,1934,2,1,624,5
1,2005,4,5,0,NA
2,1983,4,1,240,4
1,1951,1,5,2319,5
1,2006,3,5,0,NA
1,1994,7,5,0,1
2,1945,2,3,600,1
1,1967,1,3,2700,5
2,2001,5,5,0,1
1,2001,3,5,0,1
2,1935,1,3,2200,2
2,1960,3,1,1500,4
2,2002,4,5,0,1
2,1964,5,1,250,5
1,1952,4,1,2000,4
1,2005,5,5,0,NA
2,1961,5,1,2000,4
1,1950,3,1,1600,2
2,1964,4,1,1500,5
2,1952,3,1,1200,2
2,2001,6,5,0,1
2,1955,1,5,1114,3
2,1974,2,5,0,4
2,1961,2,5,1260,4
2,1961,3,1,300,1
1,1978,3,1,4000,3
1,1957,3,1,1251,2
1,1925,2,1,-14,5
1,1957,1,3,2000,4
1,1955,3,5,3500,6
2,1962,3,3,0,3
2,1983,3,5,1363,5
2,1960,5,4,750,4
2,1960,1,5,1196,5
2,1975,2,5,2000,6
1,1980,2,5,1250,4
2,1978,2,5,1750,4
1,1976,1,5,1393,4
2,1987,4,5,500,2
1,1976,4,5,1400,5
1,1946,2,1,1000,1
2,1951,2,1,900,5
2,1970,4,1,2750,6
2,1996,3,5,0,1
1,1995,5,5,0,1
2,1977,4,1,0,5
1,1982,3,5,0,3
2,1959,4,1,1200,4
2,1997,3,5,0,1
1,1973,5,5,2400,5
1,2002,4,5,0,1
2,1983,5,5,1350,4
2,1978,2,5,2150,4
1,1985,4,5,1290,4
1,1955,5,1,3000,5
2,1958,4,1,1220,5
2,1968,2,1,1200,3
2,1955,2,1,-13,3
2,1990,2,5,150,4
2,2002,3,5,0,1
2,1955,4,1,0,5
2,1990,4,5,0,2
1,1956,3,1,97993,2
1,1939,2,1,1750,5
1,1996,4,5,0,1
1,1950,3,1,2400,4
2,1945,2,1,2100,5
1,1982,2,1,1785,5
1,1997,4,5,0,1
1,1958,4,1,1750,5
2,1942,2,1,631,2
2,1974,4,1,900,4
1,1945,2,1,1312,1
1,1943,2,1,2750,5
1,1969,2,5,1700,1
2,1955,2,1,700,2
2,1966,4,1,1193,4
2,1990,3,5,0,1
2,2005,4,5,0,1
2,1982,2,5,0,5
2,2003,4,5,0,1
1,1962,4,1,3750,4
2,1944,2,1,0,3
2,1942,2,1,630,2
1,1962,7,1,2500,5
1,1978,3,5,-13,5
2,2002,4,5,0,1
2,1950,2,1,2250,3
2,1962,4,1,1700,5
1,1970,4,1,2000,1
1,1936,2,1,10000,5
1,1948,2,1,2150,2
2,1943,2,1,0,1
2,1952,3,1,0,2
1,1955,2,1,3000,6
2,1954,2,1,1435,2
2,2004,5,5,0,NA
2,1968,4,3,1450,2
2,1947,2,1,550,5
2,1942,1,3,785,2
2,1944,2,1,600,2
2,1950,1,4,2200,5
2,1962,4,1,0,3
1,1986,2,5,850,4
2,1969,4,1,1000,4
2,1975,3,5,2265,6
2,1950,2,1,400,2
2,1974,3,1,500,2
2,1932,2,1,2243,4
1,1945,2,1,2510,5
2,1977,2,5,1250,4
1,1961,4,1,1883,4
2,1947,2,1,2000,5
2,1947,2,1,3250,2
2,1991,6,5,0,1
2,1966,4,1,945,4
1,1949,2,1,3646,6
1,1996,4,5,0,1
1,1940,1,5,1154,1
2,1994,4,5,-13,1
1,1990,2,5,0,1
1,1986,4,5,150,4
1,1993,4,5,0,1
2,1998,6,5,0,1
1,1985,4,5,750,3
2,1962,4,1,1025,4
2,1986,2,5,1250,4
1,1972,2,5,3750,6
1,1977,2,1,1850,5
2,1998,4,5,0,1
2,1977,3,1,0,3
1,1968,5,3,1600,5
1,1962,2,5,1750,1
1,1994,4,5,0,1
2,1990,5,5,0,1
2,2007,3,5,0,NA
2,1941,2,1,630,3
1,1977,3,5,1500,2
2,1957,3,1,2100,5
2,1960,3,1,1100,2
1,2000,5,5,0,1
1,1987,3,5,1500,4
1,2000,2,5,0,1
1,1997,6,5,0,1
2,1924,2,1,630,4
2,1947,2,1,0,1
1,1966,5,1,1336,2
1,1963,3,5,2567,4
2,1968,5,1,2100,5
1,1971,2,1,1380,2
2,1959,2,1,1250,2
2,1944,2,1,0,2
2,1948,1,4,1851,3
1,1951,1,3,2200,5
1,1953,3,1,1250,2
1,1967,2,1,2200,2
2,1976,4,1,2000,6
1,1993,5,5,0,1
2,1945,2,1,1280,5
2,2007,3,5,0,NA
1,1988,5,5,250,4
1,1947,2,1,-14,1
1,1964,4,1,2200,4
2,1968,3,1,900,1
2,2007,3,5,0,NA
1,1963,4,3,1350,4
1,1955,3,1,1800,3
2,1975,4,1,-14,5
1,1969,6,1,2500,5
1,1969,3,5,-14,4
