dataset,age,bfi_O_imag,bfi_O_arti,bfi_C_lazy,bfi_C_thor,bfi_E_rese,bfi_E_soci,bfi_A_faul,bfi_A_trus,bfi_N_rela,bfi_N_nerv
shp,54,5,5,7,6,6,6,6,4,5,8
shp,50,9,0,8,7,7,6,4,7,3,6
shp,47,5,10,10,7,10,10,8,9,1,2
shp,21,10,1,4,5,10,9,8,5,5,6
shp,18,9,8,3,4,3,5,5,8,2,3
shp,56,6,6,6,10,4,6,3,6,4,7
shp,23,7,10,7,7,5,7,7,6,4,5
shp,52,4,6,3,9,2,5,6,8,2,7
shp,19,8,8,7,8,4,8,8,8,2,1
shp,18,5,5,6,7,4,7,4,8,3,4
shp,17,6,7,5,6,5,6,6,8,3,4
shp,79,6,5,4,7,3,8,7,8,2,5
shp,70,6,8,6,7,5,6,8,7,3,3
shp,38,6,9,8,9,3,7,7,8,1,2
shp,36,7,8,2,8,5,8,7,6,2,5
shp,33,10,10,10,10,10,10,10,10,-0,0
shp,37,5,2,4,7,3,4,4,5,3,9
shp,36,5,2,6,8,5,8,4,7,4,3
shp,43,5,5,6,8,5,6,3,8,3,6
shp,39,7,5,9,8,8,8,8,7,2,9
shp,14,7,4,5,6,3,8,10,9,1,2
shp,66,5,8,6,7,1,3,7,9,6,3
shp,59,7,7,4,8,7,7,6,5,6,5
shp,71,8,6,5,8,5,8,2,5,2,4
shp,39,7,3,5,8,1,5,6,7,2,4
shp,34,5,1,4,8,8,8,4,6,5,2
shp,46,5,10,10,7,5,8,5,7,3,5
shp,45,6,7,6,10,-0,4,6,8,5,3
shp,19,7,7,6,7,4,6,5,7,4,4
shp,14,7,2,7,8,2,7,7,8,5,6
shp,59,9,9,8,9,2,6,4,8,1,2
shp,58,8,10,10,8,4,7,7,7,2,0
shp,48,7,6,5,7,5,8,8,8,1,2
shp,46,7,7,9,8,8,9,9,9,2,1
shp,22,4,3,4,5,5,7,7,7,2,2
shp,19,4,3,4,5,6,6,7,6,3,3
shp,17,7,9,4,8,6,7,6,8,2,5
shp,14,3,1,1,5,7,7,8,8,2,2
shp,18,9,1,8,10,1,10,8,9,1,10
shp,55,7,3,5,9,10,7,8,10,3,3
shp,33,9,8,8,9,3,3,6,4,5,9
shp,84,3,5,5,5,5,6,5,5,5,5
shp,71,4,7,7,8,2,7,8,8,5,8
shp,54,4,5,7,8,3,3,6,6,5,7
shp,45,5,8,7,8,6,8,8,3,5,5
shp,66,8,8,4,9,-0,4,1,7,3,9
shp,66,8,10,7,8,5,8,7,7,5,5
shp,49,4,5,5,7,6,7,8,7,1,3
shp,48,7,9,5,10,8,10,3,8,1,0
shp,21,8,6,6,5,9,10,7,8,5,6
shp,19,8,4,6,7,8,8,4,8,4,4
shp,17,6,5,6,5,5,7,3,6,3,4
shp,66,5,6,8,8,2,8,4,8,2,2
shp,57,9,8,8,9,5,9,5,3,4,9
shp,63,7,3,8,2,8,9,8,2,7,3
shp,65,5,5,3,6,5,5,5,6,5,5
shp,49,5,5,8,7,5,6,8,7,5,4
shp,20,8,10,10,8,10,5,10,8,2,0
shp,21,10,9,8,9,9,10,5,9,1,0
shp,49,7,10,9,9,7,9,9,5,2,6
shp,74,8,6,5,10,5,7,6,8,5,4
shp,43,7,1,8,8,8,6,7,8,3,4
shp,50,3,2,8,10,1,8,7,9,2,6
shp,49,9,8,8,7,2,8,3,8,5,5
shp,25,6,4,8,8,7,6,6,7,5,3
shp,22,5,0,5,10,-0,5,10,10,5,0
shp,19,2,10,8,8,8,7,1,7,9,2
shp,25,8,6,5,8,4,7,5,5,3,4
shp,45,8,7,7,8,6,7,7,7,4,2
shp,65,8,7,3,8,4,8,4,8,5,6
shp,68,5,8,5,8,7,7,8,6,2,7
shp,63,7,7,5,8,3,7,5,8,4,4
shp,57,7,7,7,7,6,8,7,7,2,2
shp,54,5,10,5,8,10,8,7,5,7,3
shp,31,5,4,7,9,6,7,6,8,6,5
shp,41,7,9,10,10,10,8,6,10,3,4
shp,62,8,8,3,8,3,7,5,8,2,7
shp,63,5,10,7,9,2,4,7,8,1,4
shp,30,5,7,3,7,6,7,5,8,2,5
shp,31,5,3,3,5,2,3,5,4,5,9
shp,46,8,8,9,9,9,8,3,8,2,1
shp,14,7,10,7,8,10,10,9,8,2,0
shp,51,3,1,5,4,3,5,6,4,6,3
shp,54,6,8,4,8,2,6,6,8,2,2
shp,53,10,10,1,8,6,6,10,4,6,8
shp,15,10,3,3,9,5,10,10,8,2,5
shp,67,9,10,10,8,-0,8,10,8,2,5
shp,58,6,10,9,10,1,2,8,7,1,1
shp,57,8,3,2,9,2,9,3,9,3,8
shp,48,5,5,8,8,3,8,8,8,3,4
shp,15,8,7,7,7,6,7,4,7,4,4
shp,70,10,10,10,10,-0,5,8,8,1,10
shp,68,10,7,10,8,2,4,7,5,5,8
shp,41,2,4,5,7,3,3,4,6,6,5
shp,53,8,5,8,10,10,8,4,10,2,2
shp,43,5,10,5,8,-0,0,8,5,2,0
shp,70,7,4,8,9,4,9,5,7,1,8
shp,67,8,2,8,8,2,8,2,7,6,9
shp,66,6,10,5,8,5,8,8,8,6,8
shp,87,10,0,-0,10,10,10,10,10,5,6
shp,47,5,9,10,10,5,6,9,8,4,3
shp,37,4,7,8,8,7,7,7,6,3,4
shp,40,7,6,3,5,4,5,6,9,3,6
shp,42,8,7,4,9,3,6,6,9,2,8
shp,55,7,7,9,8,8,8,8,7,2,7
shp,44,6,6,3,8,10,8,8,8,5,5
shp,17,9,5,4,5,9,10,5,8,1,0
shp,15,9,9,6,5,1,9,5,5,4,5
shp,75,7,7,10,10,2,9,3,8,2,3
shp,71,7,10,10,10,2,9,10,10,5,8
shp,67,10,3,9,10,7,7,8,8,2,4
shp,65,8,3,10,8,2,9,5,7,3,8
shp,67,10,5,5,10,8,10,8,8,2,2
shp,46,7,5,8,10,5,7,8,10,3,2
shp,79,3,5,5,8,-0,10,10,10,5,0
shp,70,6,6,7,9,3,7,6,7,1,3
shp,31,4,5,7,7,3,5,7,5,3,7
shp,24,7,8,3,8,8,8,7,6,2,2
shp,56,7,5,8,8,5,2,8,6,2,7
shp,56,8,7,10,9,7,7,8,9,7,2
shp,39,7,5,6,8,4,6,5,6,4,5
shp,44,7,5,3,9,4,7,5,8,1,1
shp,43,4,3,7,8,5,5,6,5,4,6
shp,55,10,8,6,10,5,10,3,7,3,6
shp,50,5,7,3,7,3,7,5,6,6,7
shp,48,7,7,7,9,3,8,5,6,1,5
shp,42,6,2,7,8,3,6,5,6,4,4
shp,17,6,8,6,8,5,6,6,7,6,2
shp,16,4,5,2,9,3,4,8,8,5,7
shp,14,6,9,9,9,7,8,8,6,3,2
shp,63,5,4,7,8,5,6,7,7,3,4
shp,74,8,5,10,8,5,6,5,4,5,4
shp,85,5,2,10,10,-0,0,2,3,-0,5
shp,45,6,5,9,8,5,7,5,7,4,4
shp,40,7,7,9,8,5,7,5,7,1,5
shp,83,8,5,4,9,-0,10,3,8,1,9
shp,40,4,6,7,8,2,5,7,7,3,7
shp,37,7,8,8,9,9,8,8,8,3,6
shp,71,10,10,10,10,2,5,8,9,3,2
shp,47,7,7,8,8,2,5,9,8,3,7
shp,19,6,8,4,8,4,4,6,7,2,4
shp,52,5,3,10,10,1,2,8,9,2,7
shp,59,8,5,10,10,10,7,6,9,1,0
shp,50,7,7,6,8,3,7,6,8,2,4
shp,67,5,3,8,8,4,6,7,8,3,4
shp,64,8,7,5,7,5,8,8,7,2,0
shp,36,8,6,1,7,6,6,3,7,4,5
shp,35,8,10,5,8,3,9,6,8,3,2
shp,17,4,0,-0,10,10,7,7,10,-0,0
shp,37,5,2,6,7,10,7,6,8,3,2
shp,51,7,7,10,9,4,8,5,6,4,3
shp,47,6,6,5,8,1,7,5,7,3,7
shp,20,6,7,6,9,2,7,6,5,1,7
shp,58,7,6,6,9,3,7,3,8,2,5
shp,40,5,5,5,10,5,8,6,10,2,0
shp,35,4,3,7,10,7,6,8,5,8,8
shp,60,5,10,8,5,2,4,7,4,10,10
shp,47,1,5,8,10,8,10,10,10,5,2
shp,19,8,7,9,10,5,8,2,8,7,1
shp,17,2,6,8,9,10,10,8,8,-0,2
shp,59,8,5,9,8,5,7,5,8,1,5
shp,56,6,3,5,9,5,7,8,8,2,4
shp,32,7,2,2,8,2,7,8,7,4,2
shp,28,7,7,6,8,8,7,6,7,4,4
shp,26,9,5,5,7,4,9,3,8,5,5
shp,21,6,7,8,6,7,7,8,7,6,4
shp,66,5,7,8,8,2,5,7,8,1,5
shp,64,5,8,8,7,5,8,5,5,5,5
shp,49,7,10,8,8,7,6,6,6,2,6
shp,60,7,8,8,7,5,5,8,7,3,6
shp,56,9,8,3,8,8,8,8,8,3,2
shp,70,2,0,2,10,5,8,5,2,5,3
shp,71,10,5,8,10,3,10,8,10,-0,1
shp,63,6,4,7,9,3,8,7,7,4,7
shp,36,7,5,10,8,2,8,8,8,1,5
shp,78,5,5,5,8,8,8,8,8,2,5
shp,55,5,6,9,10,5,7,6,6,2,5
shp,24,6,3,5,5,5,7,7,7,2,0
shp,22,4,5,9,10,6,7,9,7,4,0
shp,20,8,8,2,4,4,5,6,6,3,7
shp,68,3,2,10,8,5,8,10,5,7,8
shp,25,5,2,7,8,6,7,7,6,3,3
shp,25,5,7,6,8,6,7,6,8,3,3
shp,78,5,5,3,9,5,7,7,8,2,7
shp,69,5,3,5,8,-0,2,4,7,2,3
shp,60,4,5,5,7,5,6,8,6,5,5
shp,44,7,7,7,10,7,8,9,9,2,2
shp,15,7,0,10,10,10,5,9,8,-0,0
shp,75,8,7,8,9,1,7,7,5,6,8
shp,59,6,5,5,7,3,5,5,6,4,6
shp,78,6,3,9,8,1,7,8,6,1,8
shp,31,3,2,8,10,5,5,7,5,6,3
shp,34,6,6,5,8,5,7,4,6,3,4
shp,69,10,1,10,10,10,10,10,10,-0,0
shp,30,8,1,5,9,10,9,1,8,2,5
shp,61,6,3,6,9,6,8,7,8,3,4
shp,75,6,0,10,6,5,5,10,10,-0,6
shp,40,10,0,6,9,5,10,8,8,5,9
shp,49,2,3,3,3,3,3,3,3,8,7
shp,61,8,7,7,8,8,7,4,7,4,5
shp,59,6,6,5,8,4,6,5,5,5,6
shp,24,5,6,8,10,7,6,6,7,3,3
shp,19,5,8,7,6,8,8,7,7,9,6
shp,56,8,0,10,9,10,8,8,10,2,0
shp,29,7,7,8,9,8,7,6,7,2,1
shp,26,7,0,8,8,8,9,8,8,2,3
shp,28,6,5,8,8,8,8,8,7,2,1
shp,27,7,2,5,8,8,8,4,8,3,7
shp,35,5,1,5,7,8,8,4,5,3,5
shp,59,6,5,10,9,5,7,5,5,3,3
shp,59,8,9,8,9,10,8,8,2,1,5
shp,26,6,2,8,7,2,6,6,7,3,2
shp,45,3,2,4,9,5,5,7,3,5,4
shp,18,4,2,5,7,6,3,6,5,6,2
shp,42,10,8,9,9,8,9,10,6,-0,2
shp,38,6,8,10,8,10,8,8,5,4,4
shp,37,8,4,7,8,3,7,4,8,4,5
shp,73,0,0,6,5,5,0,10,6,3,10
shp,39,10,6,7,10,6,8,5,8,1,5
shp,38,5,8,6,7,7,7,4,7,4,5
shp,49,6,2,7,3,6,5,5,7,7,6
shp,48,9,2,10,10,5,8,2,7,2,1
shp,25,8,10,5,8,8,10,8,5,2,2
shp,20,9,5,10,10,10,9,10,5,-0,0
shp,49,4,8,5,8,3,7,4,7,2,2
shp,62,5,3,4,10,-0,7,6,7,4,7
shp,37,3,2,7,8,8,5,7,5,3,2
shp,63,2,2,7,10,5,8,8,8,5,7
shp,58,8,3,7,8,7,9,7,8,6,5
shp,54,8,9,8,9,8,10,8,10,1,1
shp,49,6,2,8,7,7,7,7,7,2,2
shp,42,8,7,5,9,5,9,8,9,2,3
shp,15,9,5,7,7,4,8,4,8,4,4
shp,61,10,10,10,8,10,10,10,9,-0,0
shp,34,5,8,6,8,5,5,7,8,3,5
shp,47,7,2,6,8,6,9,5,5,3,6
shp,25,9,6,6,10,10,9,3,8,3,4
shp,65,7,8,7,8,10,7,8,8,2,2
shp,61,8,7,6,7,10,9,6,10,3,6
shp,76,6,3,3,9,7,8,5,6,5,7
shp,76,7,5,6,6,7,8,3,7,5,7
shp,39,3,2,8,10,10,9,10,9,3,1
shp,78,10,0,1,10,-0,10,-0,9,-0,10
shp,16,7,7,6,8,7,8,6,8,1,3
shp,83,1,0,5,10,5,10,8,10,5,5
shp,72,3,9,8,2,7,6,8,3,10,2
shp,68,3,5,10,10,2,5,7,5,5,10
shp,63,2,5,7,8,10,6,8,8,5,5
shp,80,5,5,6,5,8,5,9,8,5,3
shp,86,2,4,6,7,2,2,10,8,-0,0
shp,54,7,5,2,9,2,8,3,8,2,9
shp,54,8,2,4,7,10,8,10,10,2,0
shp,48,5,2,8,8,7,5,7,8,2,2
shp,85,8,7,8,10,5,7,8,6,3,2
shp,75,7,7,7,9,5,8,8,8,5,3
shp,55,9,9,9,8,2,9,7,7,2,3
shp,25,8,5,9,9,8,9,6,9,1,3
shp,79,8,0,10,9,5,9,10,6,2,0
shp,47,4,3,10,3,7,3,8,4,6,3
shp,50,4,2,7,8,6,8,5,6,3,7
shp,47,3,0,10,8,10,8,10,5,2,5
shp,17,9,0,9,8,10,10,8,8,3,5
shp,14,9,6,8,8,7,8,8,8,2,7
shp,67,4,8,3,8,4,6,6,8,3,3
shp,67,8,7,6,7,7,7,2,7,5,7
shp,45,5,7,5,8,5,7,6,5,5,5
shp,42,7,8,2,5,8,6,4,8,5,3
shp,15,9,6,8,7,7,8,6,7,4,5
shp,50,6,4,7,8,5,6,6,7,1,4
shp,71,5,2,5,8,10,6,5,8,3,5
shp,45,5,5,3,8,6,5,7,7,4,5
shp,23,9,4,3,6,7,7,6,8,2,3
shp,60,6,7,7,7,3,5,6,8,1,2
shp,47,7,4,8,10,7,9,7,8,3,2
shp,43,7,5,7,8,2,9,6,8,2,3
shp,21,6,5,8,8,6,8,3,7,2,3
shp,19,8,8,3,9,2,9,5,6,4,4
shp,17,9,5,4,8,4,9,7,8,2,3
shp,14,6,4,5,10,3,8,3,9,5,8
shp,38,9,10,9,8,8,7,8,7,1,2
shp,36,7,8,6,6,8,8,6,7,3,5
shp,42,4,2,8,9,5,5,6,7,4,4
shp,41,3,6,7,7,6,6,6,8,4,3
shp,51,9,7,5,9,8,9,6,8,2,3
shp,41,7,3,7,8,7,9,4,7,2,4
shp,40,5,7,9,10,6,8,9,8,3,1
shp,85,2,4,9,8,9,7,8,8,4,7
shp,65,9,0,10,9,8,10,10,9,-0,0
shp,45,9,5,10,9,4,9,9,8,-0,0
shp,41,8,5,6,8,7,7,9,8,2,4
shp,29,10,7,8,10,10,10,8,9,2,2
shp,28,5,2,7,8,6,8,2,8,3,7
shp,29,9,10,9,10,9,10,10,9,1,1
shp,28,2,8,9,10,9,9,9,9,8,5
shp,39,9,9,8,9,8,9,3,5,2,5
shp,45,8,7,5,6,3,5,8,7,2,7
shp,46,7,8,7,7,7,7,6,6,4,5
shp,49,9,5,7,9,8,9,8,8,1,2
shp,23,10,7,8,7,8,8,6,7,2,4
shp,21,8,10,4,8,10,8,9,5,5,2
shp,19,8,8,6,8,3,8,8,8,3,3
shp,56,3,5,8,8,7,8,8,7,2,3
shp,47,8,4,3,9,6,8,6,9,3,6
shp,17,8,2,7,9,4,8,5,8,3,4
shp,16,4,6,5,7,8,8,6,7,4,4
shp,77,8,5,10,10,5,10,9,10,-0,0
shp,73,5,7,10,10,5,5,10,5,-0,0
shp,36,4,3,8,9,8,4,7,4,1,1
shp,47,7,1,9,9,9,9,9,1,1,5
shp,39,5,5,10,8,8,8,8,7,2,3
shp,52,3,2,4,10,5,8,9,5,-0,3
shp,56,6,2,8,10,8,8,7,4,2,3
shp,73,8,1,2,8,2,6,5,7,3,8
shp,71,10,10,3,10,2,6,9,8,2,9
shp,51,10,5,8,10,6,7,10,10,2,2
shp,33,8,1,10,9,10,9,6,9,3,2
shp,46,6,7,8,9,8,7,8,8,3,3
shp,63,5,3,6,10,3,7,7,7,2,5
shp,75,3,8,8,10,5,8,8,8,3,2
shp,65,5,5,6,8,6,7,6,8,2,4
shp,47,2,2,7,8,4,4,6,8,6,3
shp,41,6,6,5,8,5,6,5,7,3,6
shp,57,9,7,4,9,8,7,7,8,5,6
shp,45,5,6,5,8,5,5,7,5,7,6
shp,17,10,5,4,7,6,8,6,8,5,7
shp,15,7,5,5,7,7,8,6,7,2,4
shp,56,9,10,8,7,10,9,7,8,4,1
shp,52,10,5,10,10,10,8,5,10,2,5
shp,71,6,6,7,7,4,6,6,6,3,3
shp,50,8,10,10,10,10,10,10,8,2,3
shp,55,10,8,7,10,7,8,8,6,4,8
shp,52,8,10,8,8,7,8,8,6,2,1
shp,47,9,4,1,8,4,7,5,7,5,6
shp,41,5,6,8,9,2,7,5,8,3,4
shp,48,6,1,10,10,6,7,10,9,2,2
shp,37,7,4,6,8,7,7,7,8,1,2
shp,37,8,8,5,8,8,7,5,6,4,4
shp,40,8,3,6,9,10,10,8,8,1,1
shp,36,7,2,4,9,10,9,5,8,1,0
shp,17,9,7,5,9,9,9,6,8,3,6
shp,15,8,7,6,8,5,8,3,7,2,4
shp,39,7,3,8,9,4,7,10,9,2,2
shp,37,8,9,9,10,8,8,8,5,1,9
shp,49,7,5,4,7,5,7,5,5,7,6
shp,43,7,5,5,9,5,6,2,7,5,6
shp,63,7,2,10,10,5,8,8,7,2,1
shp,40,7,8,7,8,3,7,8,8,2,2
shp,62,5,2,10,9,8,9,9,6,4,5
shp,55,4,3,7,8,10,7,7,8,3,2
shp,53,9,9,9,8,8,7,8,8,5,5
shp,29,10,2,6,7,8,4,8,7,2,2
shp,30,7,7,10,9,6,9,6,8,5,5
shp,69,7,7,8,7,9,8,8,8,2,3
shp,66,7,10,10,10,10,10,6,10,-0,0
shp,58,8,5,5,8,5,6,6,8,5,8
shp,63,10,10,10,9,5,10,10,0,-0,0
shp,81,5,5,10,10,10,10,10,5,5,5
shp,35,2,8,9,8,9,7,8,5,4,1
shp,58,9,7,8,10,8,9,5,8,1,3
shp,62,5,5,10,10,5,5,10,5,2,5
shp,62,10,0,10,10,10,10,10,9,3,5
shp,37,7,3,3,8,4,7,6,7,3,5
shp,30,7,5,10,10,10,9,7,8,2,2
shp,32,6,3,5,7,5,8,6,7,2,3
shp,54,6,7,6,10,5,7,5,7,3,5
shp,23,10,4,3,4,8,8,6,6,-0,3
shp,79,8,6,6,5,2,4,10,8,5,8
shp,62,10,0,6,10,-0,8,8,8,3,5
shp,47,10,6,6,8,5,7,6,8,3,8
shp,23,9,7,5,8,5,8,7,7,3,3
shp,81,1,2,10,8,7,10,10,8,5,5
shp,18,6,10,7,8,10,6,6,6,3,2
shp,17,4,5,8,3,7,7,8,3,5,3
shp,45,3,2,8,9,7,6,10,8,1,2
shp,43,5,6,8,7,7,7,8,5,3,2
shp,20,5,6,9,10,3,4,4,2,-0,4
shp,17,7,6,6,6,5,4,5,3,2,3
shp,45,8,2,8,8,6,9,5,7,3,6
shp,44,6,7,7,8,8,9,7,7,3,2
shp,17,7,6,8,9,9,8,3,8,3,6
shp,16,8,3,7,7,8,8,6,7,4,5
shp,14,5,3,6,7,9,8,7,7,4,7
shp,49,9,10,10,9,7,10,8,6,2,9
shp,48,8,7,7,9,1,5,8,8,3,8
shp,50,7,7,6,9,3,8,6,7,1,3
shp,18,10,10,4,7,9,9,5,8,4,3
shp,66,8,3,10,8,3,8,8,8,2,2
shp,63,7,3,5,8,5,6,4,6,4,6
shp,69,10,5,5,10,-0,5,-0,0,7,10
shp,59,8,7,7,9,7,7,6,8,3,4
shp,66,5,1,10,8,4,8,1,6,4,7
shp,42,5,2,4,8,4,5,5,4,3,7
shp,38,8,7,4,8,8,8,3,8,4,4
shp,54,5,10,7,9,4,3,7,7,5,4
shp,39,8,0,10,10,-0,6,8,9,1,3
shp,54,8,2,8,10,10,8,7,6,2,5
shp,54,8,5,9,8,8,6,8,8,3,4
shp,52,10,8,10,9,1,7,8,7,2,7
shp,80,9,6,6,8,10,8,2,8,4,8
shp,80,7,6,7,7,10,8,9,7,4,10
shp,52,8,8,7,6,5,5,6,6,3,5
shp,16,9,8,3,8,8,9,4,7,3,5
shp,39,8,5,7,8,7,8,7,5,3,2
shp,34,6,5,3,8,5,8,6,8,2,5
shp,53,10,0,10,10,2,6,6,4,5,2
shp,49,8,3,8,9,2,8,9,8,2,8
shp,20,5,8,7,9,6,5,9,7,1,3
shp,17,7,2,2,8,7,7,9,2,4,2
shp,15,10,9,9,9,5,8,7,9,1,1
shp,44,5,0,5,10,8,10,3,10,-0,2
shp,38,6,10,10,10,10,10,10,10,-0,0
shp,17,10,10,9,7,10,10,8,8,3,4
shp,16,10,5,2,10,8,8,10,5,5,8
shp,15,8,5,3,10,10,10,1,2,-0,4
shp,57,6,5,7,8,5,7,7,8,2,3
shp,54,7,6,10,8,9,8,7,5,3,4
shp,55,6,6,7,10,8,6,7,6,4,4
shp,47,8,5,7,8,10,8,5,5,3,3
shp,16,7,9,8,9,4,7,7,8,3,5
shp,48,5,5,6,7,4,7,6,6,5,6
shp,56,3,4,4,7,7,6,7,9,4,5
shp,53,8,7,9,9,8,7,8,9,2,2
shp,24,5,2,6,7,7,6,8,9,3,10
shp,59,5,7,5,9,6,7,7,8,2,3
shp,19,5,5,7,8,9,7,7,7,3,2
shp,71,7,6,3,8,2,7,6,8,4,6
shp,77,5,3,3,5,5,5,10,5,5,5
shp,56,8,7,4,8,5,10,5,10,2,7
shp,64,6,6,8,9,3,5,10,8,2,4
shp,39,7,5,5,8,7,10,6,4,2,5
shp,16,6,5,5,10,10,10,1,10,2,7
shp,44,7,1,4,7,3,6,9,6,7,1
shp,22,10,5,4,9,4,8,9,6,4,8
shp,21,2,0,2,9,5,10,9,8,3,2
shp,74,5,8,5,9,-0,9,10,10,2,1
shp,55,7,2,5,8,2,6,7,6,4,7
shp,52,8,5,7,8,5,8,5,7,2,3
shp,82,5,5,10,6,2,6,10,7,2,0
shp,69,7,5,3,9,5,7,8,9,4,6
shp,48,10,5,5,8,1,6,5,6,2,8
shp,18,8,9,8,10,10,9,6,8,2,7
shp,49,9,3,4,8,8,8,5,7,3,3
shp,45,5,1,5,10,5,8,2,5,6,10
shp,18,9,6,5,7,7,9,6,8,2,5
shp,15,5,5,6,7,5,6,6,6,5,5
shp,65,8,5,5,8,4,6,5,5,2,6
shp,29,10,10,10,8,8,10,9,5,2,1
shp,57,8,7,6,8,6,8,3,6,4,7
shp,56,6,2,6,8,3,7,5,8,2,3
shp,22,7,7,4,7,6,7,7,7,4,4
shp,20,10,10,8,9,7,8,8,9,1,5
shp,50,5,2,10,10,1,10,10,9,2,0
shp,19,7,8,7,8,8,9,5,9,3,2
shp,37,7,9,2,8,2,3,5,4,5,7
shp,67,7,6,8,7,6,8,7,6,3,2
shp,60,8,7,4,7,4,9,5,7,2,7
shp,58,8,8,10,8,5,7,7,9,-0,2
shp,52,7,4,7,9,5,7,6,7,1,3
shp,77,8,7,5,5,6,8,7,8,2,2
shp,55,5,0,10,10,9,10,9,9,2,7
shp,57,8,2,10,9,10,8,3,8,4,3
shp,53,7,4,8,9,2,8,7,8,1,4
shp,28,2,5,5,8,10,10,8,7,3,5
shp,63,8,5,10,8,10,8,8,8,-0,0
shp,59,8,8,3,7,8,7,5,5,2,7
shp,45,8,7,6,8,5,8,5,6,3,3
shp,43,5,2,8,9,8,7,5,2,4,5
shp,17,6,3,4,7,4,10,5,8,-0,5
shp,30,5,3,4,7,5,9,5,6,1,6
shp,65,8,5,10,10,10,8,10,7,5,5
shp,66,4,8,10,8,3,8,8,5,2,0
shp,55,8,10,8,10,5,8,2,10,3,5
shp,69,6,3,7,8,10,8,7,8,2,3
shp,54,6,2,5,9,1,10,8,9,2,2
shp,54,4,5,5,8,5,7,7,7,2,2
shp,26,6,0,3,7,7,10,8,7,5,3
shp,24,7,9,7,9,9,9,8,9,5,3
shp,26,6,2,4,8,7,8,5,7,-0,1
shp,61,8,4,8,9,5,8,8,5,1,2
shp,58,8,2,6,9,2,8,8,8,2,7
shp,17,7,8,5,8,7,9,4,8,-0,3
shp,83,5,2,10,10,8,8,9,8,5,1
shp,57,6,6,7,7,5,7,6,9,2,3
shp,52,8,8,8,8,8,3,9,4,7,3
shp,67,5,10,3,8,7,7,7,7,3,3
shp,63,10,8,10,10,10,10,10,10,2,0
shp,41,9,2,10,7,10,8,8,5,10,7
shp,50,6,9,9,9,5,7,5,7,4,2
shp,40,8,5,4,10,2,9,3,9,2,7
shp,17,7,3,7,7,5,8,7,6,4,5
shp,71,7,8,4,8,8,8,4,6,3,6
shp,63,7,7,8,7,4,7,5,5,5,0
shp,83,10,3,10,10,10,10,5,5,5,0
shp,70,8,10,10,10,10,10,8,8,-0,0
shp,63,8,8,6,9,3,8,2,7,1,3
shp,68,6,5,7,8,7,5,7,7,5,5
shp,27,7,1,3,10,9,7,6,8,3,1
shp,38,7,3,8,8,8,9,9,8,4,3
shp,41,3,8,10,9,5,9,6,2,2,2
shp,78,8,5,7,8,8,8,6,6,2,4
shp,72,7,7,8,8,3,7,8,7,1,5
shp,43,5,8,5,10,2,2,3,2,5,10
shp,79,8,2,5,10,2,10,5,8,2,2
shp,60,6,4,7,8,2,9,8,7,2,8
shp,59,8,7,7,8,7,3,3,8,4,4
shp,58,6,9,4,9,3,7,8,4,2,2
shp,29,7,3,4,8,6,8,7,6,1,5
shp,38,5,0,10,9,5,7,7,7,2,2
shp,36,7,8,10,8,4,7,8,3,4,6
shp,19,8,2,2,7,4,5,8,7,1,5
shp,50,8,8,7,8,2,7,4,8,4,7
shp,44,10,10,10,10,10,10,10,0,10,10
shp,76,8,5,8,10,7,8,8,5,2,3
shp,49,8,7,7,8,8,8,7,7,2,3
shp,15,4,3,1,7,5,8,2,6,4,4
shp,47,5,7,6,8,4,8,6,7,4,7
shp,47,5,2,5,7,4,5,5,6,4,7
shp,21,5,6,3,6,6,9,2,7,6,8
shp,18,7,1,4,8,9,8,4,9,1,3
shp,68,8,4,8,10,4,10,7,6,3,2
shp,59,4,3,4,8,2,5,2,7,7,4
shp,26,3,8,6,8,4,8,3,8,2,5
shp,38,7,5,7,8,7,8,6,8,2,3
shp,38,7,5,6,8,5,7,6,6,3,4
shp,60,8,5,5,10,8,10,10,7,4,10
shp,56,5,5,-0,10,2,6,10,8,-0,0
shp,51,9,5,5,8,7,9,7,6,2,4
shp,48,3,1,8,9,2,6,4,8,3,2
shp,72,5,10,10,9,3,9,8,10,3,2
shp,70,8,0,5,7,2,2,10,8,3,1
shp,45,7,5,8,9,5,9,8,8,1,2
shp,42,9,2,10,8,3,8,5,6,4,5
shp,25,4,8,8,8,8,6,2,4,3,2
shp,36,7,5,4,9,9,5,5,8,3,2
shp,59,8,3,5,10,2,10,8,8,-0,10
shp,40,8,5,7,9,3,7,5,7,1,1
shp,56,6,7,8,8,7,7,7,5,4,6
shp,31,10,2,8,8,9,10,10,9,1,2
shp,63,7,9,7,6,10,5,7,6,4,0
shp,61,4,9,9,9,2,4,7,8,3,5
shp,33,10,10,4,9,9,10,7,6,2,2
shp,42,10,10,6,9,9,5,2,1,-0,4
shp,46,6,4,7,9,6,6,6,7,6,5
shp,47,8,4,5,8,6,7,8,7,2,2
shp,72,6,5,3,8,3,7,8,8,1,7
shp,75,10,10,5,7,10,6,10,10,10,10
shp,53,10,0,7,10,5,10,4,6,2,5
shp,71,6,7,10,8,10,10,10,7,3,5
shp,50,7,8,3,8,2,8,3,8,3,6
shp,21,6,3,4,7,4,6,7,4,3,5
shp,49,5,10,8,9,6,5,6,5,5,6
shp,49,7,10,10,9,2,8,8,8,2,2
shp,15,8,9,7,9,2,7,5,8,3,8
