dataset,age,bfi_O_imag,bfi_O_arti,bfi_C_lazy,bfi_C_thor,bfi_E_rese,bfi_E_soci,bfi_A_faul,bfi_A_trus,bfi_N_rela,bfi_N_nerv
shp,55,6,4,5,7,5,8,6,5,4,4
shp,29,7,10,5,7,4,5,6,7,4,7
shp,80,10,2,10,10,-0,6,10,8,2,10
shp,28,7,8,8,8,6,7,3,5,5,2
shp,29,8,8,8,10,10,7,5,10,4,6
shp,52,8,6,5,8,3,6,7,7,2,4
shp,52,8,8,8,8,10,8,8,8,4,2
shp,63,6,6,10,9,10,8,8,6,2,2
shp,64,10,10,10,8,10,5,10,10,-0,0
shp,85,6,10,7,10,8,7,3,10,5,4
shp,39,6,8,3,7,5,8,4,7,2,4
shp,57,10,10,10,10,-0,10,10,2,8,0
shp,30,4,6,5,7,5,6,7,5,4,4
shp,64,8,4,7,10,2,7,3,8,4,2
shp,64,9,10,5,9,2,6,5,8,2,5
shp,70,8,9,7,9,5,6,7,9,3,5
shp,46,5,10,5,9,3,6,5,7,4,5
shp,57,6,2,7,9,5,2,5,7,5,5
shp,24,10,6,5,5,-0,4,7,7,5,8
shp,50,8,3,10,8,10,9,10,7,4,6
shp,74,9,10,7,5,5,8,5,5,4,5
shp,62,8,8,7,8,4,6,7,5,2,5
shp,65,10,4,3,7,-0,8,2,8,2,7
shp,53,8,4,8,8,10,8,8,8,2,5
shp,62,6,8,8,10,2,8,8,8,4,2
shp,45,7,10,4,8,5,6,4,5,5,5
shp,34,4,4,6,8,4,4,7,8,2,4
shp,31,5,6,6,8,4,7,6,6,3,4
shp,41,4,6,2,8,10,8,6,8,5,4
shp,54,10,10,8,10,10,6,5,7,5,5
shp,46,5,10,5,8,6,5,7,5,5,4
shp,43,7,10,5,8,1,8,3,7,4,7
shp,52,5,2,8,8,2,3,7,8,1,2
shp,47,6,3,8,8,3,4,7,7,2,3
shp,42,9,5,9,9,10,9,9,7,5,5
shp,78,8,0,5,5,1,8,10,10,-0,8
shp,70,7,4,5,10,5,10,10,10,-0,0
shp,78,7,3,7,8,4,6,4,5,7,7
shp,50,6,2,7,9,4,8,6,8,2,3
shp,49,7,10,9,7,7,8,7,8,2,5
shp,19,8,7,7,8,6,6,6,7,5,4
shp,18,8,7,5,6,8,9,6,5,2,2
shp,16,4,5,6,7,8,9,8,5,4,7
shp,16,8,5,6,9,5,10,8,8,3,4
shp,16,5,2,8,8,7,8,7,5,2,3
shp,68,7,7,9,9,4,8,5,7,4,5
shp,79,5,3,6,7,5,8,5,6,5,5
shp,75,5,8,2,9,2,7,6,8,7,8
shp,67,7,7,7,9,2,8,7,8,3,5
shp,72,9,3,6,9,2,9,5,8,2,7
shp,70,8,5,2,9,1,6,5,9,2,8
shp,47,2,8,8,1,9,8,7,2,5,5
shp,16,5,7,4,5,8,8,5,8,6,6
shp,49,7,4,8,7,2,2,7,5,3,2
shp,45,5,7,8,8,7,8,6,8,4,6
shp,15,3,7,3,3,10,5,8,5,10,0
shp,54,10,0,2,10,1,9,-0,10,5,8
shp,59,5,4,6,7,7,7,8,7,6,5
shp,68,7,4,7,7,5,8,7,5,5,4
shp,68,6,4,7,8,5,2,2,8,4,7
shp,69,8,6,10,10,6,9,6,9,2,5
shp,66,5,5,6,8,2,6,6,8,2,4
shp,37,3,8,8,8,2,3,5,3,7,3
shp,45,8,10,4,8,7,6,7,7,3,3
shp,39,6,3,5,9,9,8,6,8,3,6
shp,48,7,6,8,9,4,8,5,8,3,4
shp,42,6,5,6,8,9,9,7,5,7,6
shp,39,7,6,2,8,2,7,6,7,2,7
shp,85,5,7,10,1,10,0,9,1,10,0
shp,60,6,8,5,10,10,5,7,7,-0,2
shp,59,6,6,7,8,4,6,5,7,2,6
shp,58,8,8,8,8,2,6,8,8,2,6
shp,63,8,6,7,7,3,7,4,7,2,6
shp,83,5,10,4,6,3,9,10,8,3,7
shp,71,7,2,8,10,1,8,2,9,2,8
shp,36,10,9,3,8,1,5,4,8,-0,2
shp,39,8,9,8,8,6,8,8,8,2,3
shp,43,7,5,7,8,5,7,7,5,2,3
shp,28,7,6,4,9,8,9,6,8,1,0
shp,31,10,2,10,10,5,8,8,7,2,8
shp,51,8,1,2,10,2,8,4,9,1,3
shp,65,4,6,2,8,4,6,3,8,3,7
shp,71,9,8,8,8,4,5,5,7,3,5
shp,55,6,5,9,9,6,9,8,7,6,3
shp,36,7,2,1,8,3,4,3,6,2,5
shp,74,8,3,2,9,5,6,3,5,3,8
shp,65,4,3,3,7,5,5,5,5,5,5
shp,76,10,10,10,5,10,10,10,5,5,10
shp,59,7,3,7,8,2,7,6,8,2,2
shp,84,6,2,2,8,2,8,8,8,2,3
shp,84,5,0,2,8,5,10,10,10,-0,5
shp,76,5,1,9,8,4,7,7,7,2,6
shp,49,6,3,3,10,-0,7,7,7,2,6
shp,21,6,4,6,9,8,7,8,8,2,6
shp,19,5,4,5,4,5,7,7,6,4,4
shp,69,8,4,8,8,2,8,8,7,2,4
shp,58,7,4,8,8,3,7,6,7,3,5
shp,45,4,3,7,7,6,6,7,7,2,5
shp,43,7,8,7,6,10,8,5,6,2,3
shp,58,7,7,3,8,10,7,6,10,-0,1
shp,45,7,5,3,8,2,6,5,8,2,3
shp,45,5,4,8,8,7,8,8,6,3,2
shp,14,7,9,-0,4,2,6,5,5,1,0
shp,72,10,10,10,10,2,9,3,8,2,2
shp,80,9,2,8,8,2,10,7,8,1,5
shp,60,7,6,8,9,1,7,8,8,1,6
shp,42,7,5,4,8,3,6,5,7,3,4
shp,63,5,7,5,9,7,7,7,6,5,7
shp,32,4,5,8,9,3,5,8,8,1,2
shp,72,8,10,7,8,1,7,9,8,1,6
shp,70,8,10,4,10,10,8,5,8,5,8
shp,42,8,6,10,10,2,7,6,8,1,5
shp,41,7,10,8,8,5,7,6,5,3,2
shp,56,5,10,4,8,10,7,10,8,4,7
shp,78,7,6,10,8,3,5,4,8,3,4
shp,38,7,3,3,8,7,7,4,5,4,8
shp,33,8,1,6,8,3,6,6,8,1,3
shp,57,4,8,2,8,5,8,2,8,5,5
shp,25,6,8,6,10,3,7,4,7,4,6
shp,35,8,10,4,9,3,8,3,10,-0,4
shp,23,10,2,10,10,8,4,6,8,2,0
shp,41,6,8,8,8,7,8,8,5,3,1
shp,43,10,0,10,8,10,10,10,10,-0,0
shp,43,10,10,10,5,10,10,6,8,5,5
shp,40,7,8,8,8,2,5,9,8,-0,2
shp,33,4,3,8,8,5,7,6,7,3,2
shp,71,4,9,7,8,5,4,6,8,4,7
shp,71,4,3,6,6,5,5,5,8,7,7
shp,64,7,4,6,8,7,8,5,8,3,3
shp,65,5,5,6,10,9,7,7,10,4,7
shp,59,6,1,8,8,5,7,7,7,5,4
shp,45,9,9,5,9,5,9,9,9,1,1
shp,32,5,0,10,10,10,8,10,10,-0,0
shp,45,7,7,7,8,6,8,6,7,3,6
shp,21,6,6,3,7,4,4,6,5,3,4
shp,19,5,4,7,7,3,7,8,7,3,6
shp,16,5,4,10,3,10,4,10,5,6,1
shp,37,4,7,2,10,-0,6,2,5,2,9
shp,37,3,1,4,10,6,3,6,9,-0,4
shp,47,7,3,6,7,3,4,5,6,4,4
shp,69,7,2,7,8,5,7,6,8,4,6
shp,66,8,4,10,9,3,7,3,8,5,6
shp,77,6,7,7,10,10,6,10,10,3,5
shp,46,6,2,2,8,2,5,3,10,2,5
shp,36,3,2,8,8,4,7,7,6,2,2
shp,40,7,2,6,9,7,7,4,8,-0,3
shp,38,5,2,7,8,5,8,6,5,3,3
shp,85,3,7,4,5,4,5,6,6,2,4
shp,85,5,10,-0,9,2,7,10,10,6,10
shp,66,5,7,10,9,2,5,10,10,4,5
shp,82,9,5,4,6,2,10,10,10,5,3
shp,71,10,9,7,10,6,8,7,8,3,5
shp,71,8,10,5,10,2,8,7,10,2,5
shp,58,10,10,10,10,-0,10,10,10,1,2
shp,39,5,6,8,7,6,7,6,6,3,4
shp,35,8,5,8,9,6,10,7,7,6,3
shp,47,6,6,6,9,8,7,6,8,5,5
shp,18,7,5,8,8,8,8,8,7,2,3
shp,14,9,0,10,7,1,8,4,8,2,0
shp,89,7,5,10,8,6,6,10,5,2,4
shp,73,6,10,3,10,8,10,4,7,5,8
shp,69,8,7,8,8,6,8,7,8,5,5
shp,47,7,2,5,9,5,4,7,8,5,7
shp,36,8,8,10,9,3,10,7,8,2,9
shp,91,4,5,4,8,3,8,7,9,2,3
shp,55,10,9,8,8,8,9,6,8,5,5
shp,43,7,8,6,8,-0,7,5,8,2,2
shp,32,6,3,7,7,10,10,5,10,2,4
shp,58,6,4,5,7,5,6,8,7,2,3
shp,51,7,8,8,8,4,7,4,8,5,5
shp,27,8,2,7,8,10,8,8,2,4,3
shp,25,8,2,7,7,8,8,6,7,4,6
shp,29,9,10,8,9,10,9,8,9,1,0
shp,26,5,6,4,7,6,7,5,5,3,4
shp,66,9,1,8,10,2,7,10,10,2,3
shp,64,4,5,6,7,5,6,6,5,3,3
shp,45,7,5,8,7,10,8,7,5,6,7
shp,44,6,6,5,8,6,6,7,7,2,3
shp,18,4,1,8,7,5,6,9,5,3,1
shp,33,7,7,7,9,4,5,2,8,3,8
shp,30,2,6,1,10,6,4,4,9,3,5
shp,61,2,9,6,8,4,6,7,7,6,7
shp,63,7,6,9,8,7,8,4,8,3,5
shp,63,7,6,10,8,10,8,1,10,-0,3
shp,45,7,8,8,9,-0,5,8,10,5,3
shp,71,8,8,5,10,9,8,7,9,2,2
shp,68,6,8,10,8,3,5,10,7,3,0
shp,50,2,2,9,7,4,6,8,5,6,7
shp,49,5,5,5,8,2,2,8,2,2,5
shp,26,5,10,3,8,10,8,7,5,3,8
shp,24,6,4,7,8,2,7,6,4,4,6
shp,18,7,10,5,7,6,7,6,5,6,5
shp,64,5,8,9,8,2,7,9,7,2,2
shp,59,8,8,7,7,4,7,5,7,4,3
shp,28,4,5,7,8,4,9,6,7,5,3
shp,25,7,8,7,8,7,7,6,6,3,4
shp,62,8,10,10,8,8,7,10,10,2,0
shp,61,5,8,6,8,7,4,8,5,3,3
shp,58,6,7,7,9,7,6,7,8,2,3
shp,51,5,4,9,9,8,8,9,9,1,1
shp,38,10,7,2,10,3,6,6,6,3,8
shp,65,8,6,10,8,4,8,5,8,3,5
shp,46,6,10,5,10,2,6,9,7,4,5
shp,46,5,7,4,8,2,4,7,7,5,7
shp,14,8,7,1,5,6,7,8,8,4,1
shp,51,7,4,9,7,1,6,6,7,4,5
shp,49,7,5,8,7,5,7,7,7,5,7
shp,17,6,7,7,8,5,6,8,6,3,1
shp,14,8,8,6,7,7,8,4,5,5,7
shp,60,5,7,6,9,5,7,5,8,3,2
shp,24,10,1,3,10,8,10,7,8,3,1
shp,56,6,4,6,8,3,7,6,7,3,4
shp,50,6,9,10,6,5,8,9,6,2,0
shp,71,10,10,8,9,5,9,8,8,3,4
shp,90,7,3,9,7,8,9,8,7,2,2
shp,61,6,2,9,9,7,8,7,7,3,2
shp,59,5,6,6,6,8,2,5,6,6,4
shp,44,5,10,8,8,8,9,9,8,1,1
shp,42,4,5,6,8,8,8,9,9,2,5
shp,49,7,6,8,9,-0,5,8,8,1,6
shp,30,8,10,5,10,2,10,8,8,8,2
shp,44,6,7,10,7,5,5,6,10,3,0
shp,33,4,9,8,7,3,4,8,7,2,1
shp,53,7,9,5,10,5,9,6,7,3,7
shp,47,2,2,9,9,2,6,4,4,4,6
shp,25,6,7,6,8,8,8,5,8,4,2
shp,22,3,2,4,7,3,5,6,5,4,8
shp,53,6,3,7,9,3,9,9,7,1,3
